Park Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Average
Arkansas Post NMEM,"61,507","2,90,519","3,26,508","3,39,415","2,87,875","3,45,180","3,63,464","4,19,444","4,68,916","5,20,455","5,55,809","6,20,719","7,05,882","7,99,831","7,73,678","7,77,178","8,59,374","8,56,016","8,58,525","8,37,161","8,69,980","1,96,363","1,90,422","1,77,219","1,55,031","1,52,453","1,36,827","1,45,804","1,49,255","1,78,748","1,85,443","2,16,220","2,58,917","3,20,668","3,17,660","2,78,776","4,12,640","3,03,139","1,13,960","1,03,044","1,02,397","1,60,32,422",391034.6829
Arlington House The R.E. Lee MEM,"4,59,346","63,002","53,538","58,349","55,443","58,297","55,113","60,258","60,593","68,623","69,023","78,468","81,388","51,594","51,604","46,655","40,361","47,919","50,422","51,858","49,087","7,86,429","7,54,026","7,69,672","7,57,781","7,33,131","7,81,670","8,33,049","8,60,181","9,28,795","9,96,312","10,14,405","10,40,758","10,70,577","10,82,866","12,84,767","13,99,247","15,85,718","15,39,028","16,63,557","16,59,702","2,31,52,612",564697.8537
Assateague Island NS,"16,74,861","4,84,364","3,36,593","5,11,982","5,14,863","6,35,748","4,96,848","4,81,546","4,81,121","4,93,031","4,39,009","4,63,467","4,83,440","4,59,660","4,96,526","4,94,048","5,59,509","4,09,143","4,28,347","5,11,200","4,76,911","43,903","43,502","48,126","37,905","38,183","37,740","36,665","37,230","43,137","32,160","34,712","37,127","39,703","36,420","30,860","38,702","34,405","36,079","30,126","28,519","1,20,77,421",294571.2439
Aztec Ruins NM,"58,064","19,67,525","20,19,316","20,19,438","21,50,285","20,24,519","23,04,906","24,52,652","26,48,892","24,18,662","20,74,764","20,50,593","20,87,524","18,68,445","20,02,612","19,58,017","19,28,397","19,10,450","18,92,042","18,36,784","18,91,992","3,77,011","4,29,470","4,16,531","3,78,688","4,92,831","4,98,553","5,09,522","4,66,690","5,18,515","6,03,773","6,27,576","5,76,816","5,62,772","5,86,531","6,71,638","5,32,050","10,57,500","7,26,059","49,500",0,"5,16,47,905",1259705
Badlands National Park,"8,58,000","56,844","64,902","60,878","61,693","58,394","58,187","62,519","65,459","79,518","86,874","80,037","89,220","93,894","82,764","80,699","72,499","65,955","61,979","63,259","58,318","18,10,501","18,97,634","21,17,458","20,20,666","20,48,789","19,96,502","19,32,817","21,10,918","20,11,438","21,29,658","21,06,090","21,05,419","21,54,859","20,56,828","21,70,681","22,75,606","22,67,821","23,47,167","21,36,889","23,44,536","4,43,04,169",1080589.488
Bandelier NM,"1,61,336","9,52,652","11,75,952","10,30,484","10,26,981","11,13,675","9,50,242","10,25,630","11,74,398","11,10,040","12,37,956","13,26,475","15,18,396","12,05,297","11,79,458","11,30,459","10,75,569","10,24,705","9,70,696","10,21,049","9,50,453","52,136","46,451","47,401","42,493","45,423","44,050","40,779","39,538","38,709","38,234","37,437","41,106","44,744","41,312","44,721","53,165","57,692","52,756","54,933","63,777","2,32,88,760",568018.5366
Bent's Old Fort NHS,"94,653","1,76,410","1,97,574","2,10,850","1,99,775","2,15,500","2,38,434","2,37,977","2,61,527","2,49,561","3,22,273","3,27,918","3,45,725","3,60,204","3,66,638","4,30,138","3,95,677","3,63,447","4,09,303","3,54,672","3,32,764","11,05,824","9,55,469","9,08,898","8,71,034","9,36,030","9,09,146","8,40,118","8,86,654","8,45,734","9,33,918","9,77,778","8,70,741","8,83,406","8,92,372","8,68,094","9,89,354","9,96,263","10,54,325","10,08,942","9,70,998","2,47,96,118",604783.3659
Big Bend National Park,"2,82,941","54,529","45,843","44,318","40,173","38,330","42,875","44,770","41,194","41,832","45,512","43,209","47,170","48,609","44,935","44,717","38,338","37,640","38,771","41,106","36,814","2,48,276","3,13,850","2,91,436","2,87,096","2,63,285","2,50,161","2,43,765","2,24,134","2,07,656","2,12,544","2,34,896","1,93,914","1,50,289","1,26,682","1,30,106","1,74,073","1,98,478","2,09,141","1,98,441","2,00,741","55,02,590",134209.5122
Big Hole NB,"41,186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,740","3,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,704","10,893","9,081","9,913","80,517",1963.829268
Bighorn Canyon NRA,"2,97,152","1,74,008","1,67,332","1,80,144","1,64,926","1,67,665","1,88,045","2,00,622","2,27,921","2,39,595","2,81,728","2,57,378","2,96,470","2,94,535","3,27,907","3,30,417","2,95,460","2,79,454","3,05,882","3,38,442","3,27,649","30,461","30,987","29,830","31,247","30,964","27,760","26,483","23,952","25,001","28,131","29,120","26,842","25,815","23,324","24,555","26,219","31,948","26,397","23,562","21,674","58,87,004",143585.4634
