Park Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Average
Chiricahua NM,"49,484","4,00,016","3,57,685","5,02,142","5,18,939","5,31,214","5,75,125","5,16,626","5,11,010","3,41,126","3,42,375","4,67,760","5,81,366","4,87,680","6,16,849","7,04,289","5,52,906","4,84,892","5,03,812","4,83,762","4,59,002","4,69,303","4,55,621","4,76,259","4,57,631","4,19,599","4,13,786","4,07,367","4,09,560","4,00,381","4,32,639","4,28,524","3,65,000","3,81,058","3,88,566","3,97,309","4,45,720","4,66,773","5,20,026","4,65,912","4,40,691","1,86,29,785",454385
Christiansted NHS,"90,790","4,04,423","4,02,680","3,74,695","3,29,268","3,53,092","3,85,381","4,25,732","4,30,559","4,77,493","4,80,276","4,17,330","4,56,001","3,92,628","5,57,824","7,10,981","5,39,060","5,43,760","6,08,399","5,78,974","5,97,460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,884","1,954","2,381","95,63,025",233244.5122
Clara Barton NHS,"7,520","51,652","73,399","72,874","71,420","65,999","43,133","49,473","57,988","65,398","84,433","72,675","72,203","72,976","67,867","76,173","74,664","76,868","1,13,336","83,805","83,337","1,24,130","1,32,630","85,375","87,687","93,933","97,214","88,295","76,854","73,763","76,350","77,347","72,308","68,631","65,106","63,698","72,606","75,752","75,583","62,995","68,379","30,75,829",75020.21951
Colonial NHP,"71,72,127","78,355","1,04,717","1,14,800","1,19,639","1,25,726","1,48,992","1,94,987","2,20,987","2,11,518","2,00,677","1,99,007","2,20,284","2,11,284","2,57,594","2,50,645","2,22,548","1,86,130","1,93,649","1,86,480","1,62,495","6,48,814","6,13,465","6,68,298","6,65,309","6,43,594","6,00,252","6,30,903","6,32,048","6,18,769","6,67,783","7,08,549","7,41,042","7,27,243","7,78,128","7,60,708","8,19,154","8,54,664","8,76,975","7,48,058","6,73,395","2,48,59,792",606336.3902
Colorado NM,"2,90,584","1,04,574","87,514","1,72,287","2,05,024","2,03,411","1,64,132","1,72,913","1,74,607","1,68,592","1,52,662","1,44,083","1,49,263","1,69,181","1,84,867","1,75,226","5,25,882","4,90,715","4,88,757","5,74,270","6,07,057","45,88,273","36,01,635","29,76,795","29,41,250","29,49,231","34,87,307","34,15,397","35,09,468","37,27,030","40,80,152","41,26,378","39,85,366","32,64,439","21,80,694","47,27,110","45,97,029","48,12,930","47,37,113","45,33,564","43,61,034","8,20,07,796",2000190.146
Coronado NMEM,"59,751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,087","24,340","40,591","42,144","32,174","5,08,539","5,32,615","4,57,641","6,21,114","6,99,274","5,15,193","5,26,898","5,91,191","4,66,926","4,40,294","3,85,745","2,64,460","2,63,797","1,75,213","1,88,170","2,29,301","2,21,750","2,36,243","2,99,860","2,96,846","81,31,157",198320.9024
Cowpens NB,"78,441","3,45,956","4,71,051","6,65,192","10,81,924","8,13,317","14,99,103","16,70,336","15,33,016","16,91,810","16,68,113","17,62,950","16,60,563","23,25,277","28,44,674","34,72,026","34,57,002","35,40,375","29,57,698","29,35,043","28,98,155","5,50,657","6,90,652","5,86,938","5,69,455","5,16,331","5,05,158","4,88,376","5,14,871","5,38,016","4,92,353","5,25,831","4,93,147","6,31,809","4,66,450","7,62,907","7,93,601","8,99,676","9,09,199","6,44,515","5,79,861","5,15,31,825",1256873.78
Crater Lake National Park,"4,10,749","31,01,125","54,50,477","60,57,618","61,75,834","61,59,201","61,84,948","48,95,961","59,62,193","20,34,097","19,70,287","19,43,676","19,45,201","35,86,255","36,61,497","12,76,705","16,24,288","9,04,509","19,34,030","19,84,400","21,16,916",0,0,0,0,0,0,0,0,0,0,0,0,0,"8,157","8,854","10,648","17,216","15,472","12,769","16,490","6,94,69,573",1694379.829
Craters of the Moon NM & PRES,"2,20,698","11,45,070","7,55,259","9,06,018","10,20,953","11,02,303","10,75,504","11,57,127","10,76,260","8,77,104","8,51,534","9,55,084","10,02,285","9,95,622","10,15,945","10,15,610","10,36,777","9,74,898","10,08,277","10,19,503","9,28,124","81,015","68,527","79,171","84,621","71,812","45,539","37,923","68,211","37,180","37,376","34,226","39,175","39,044","29,917","38,386","38,914","54,084","55,334","57,781","47,342","2,11,85,533",516720.3171
Cumberland Gap NHP,"4,52,889","19,27,044","16,97,658","20,94,319","22,38,456","20,26,727","21,29,513","19,83,835","18,54,417","18,84,537","19,62,353","16,00,628","14,53,032","13,85,386","13,70,475","14,46,711","16,86,136","15,51,574","15,72,079","16,15,577","16,02,065","1,83,418","2,16,320","2,21,604","2,60,142","2,44,496","2,31,380","2,21,048","2,18,195","1,97,767","2,15,852","2,26,535","1,13,817","1,04,148","1,21,937","1,08,399","1,22,431","1,47,937","86,400","66,479","38,228","3,88,81,944",948340.0976
Cumberland Island NS,"35,811","49,232","51,864","55,058","51,737","59,818","61,680","61,472","61,895","63,776","70,342","78,191","83,687","1,04,816","1,27,840","88,544","94,171","92,842","80,710","73,746","1,02,541","4,82,571","5,20,428","6,13,935","5,85,919","5,37,716","4,34,107","3,75,256","3,60,806","3,32,177","3,48,745","2,77,515","2,42,756","2,49,594","2,12,029","3,42,161","3,24,816","3,64,807","3,83,687","3,66,250","4,09,630","93,14,678",227187.2683
Curecanti NRA,"8,09,007","1,04,458","57,098","99,531","1,00,936","80,475","1,33,603","1,96,053","1,25,326","1,28,226","1,28,656","1,01,859","1,10,626","1,24,512","1,13,883","1,18,067","1,17,766","1,11,891","1,08,825","1,07,223","1,04,081","24,055","29,272","29,647","22,871","19,064","36,969","36,556","41,393","44,072","43,447","44,081","45,254","44,314","47,309","53,486","46,995","53,184","53,744","34,354","35,495","38,67,664",94333.26829
Cuyahoga Valley National Park,"5,43,025",0,0,0,0,0,0,0,0,0,0,0,0,"97,764","84,164","80,881","77,811","67,785","72,043","60,827","72,341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,993","10,211","12,405","31,448","14,106","12,28,804",29970.82927
De Soto NMEM,"1,79,738","7,204","11,289","12,875","13,131","16,790","17,315","21,936","18,592","23,993","35,581","55,469","16,597","9,928","8,640","10,518","13,323","11,341","12,686","11,992","10,438","26,59,709","27,51,256","28,06,578","26,94,541","26,72,138","25,11,306","28,42,670","28,36,077","28,26,171","28,30,655","30,11,393","31,61,297","31,68,137","30,39,892","31,19,160","31,73,204","27,36,385","27,68,499","28,73,866","33,93,133","5,83,95,443",1424279.098
Death Valley National Park,"6,31,152","63,38,912","85,58,803","85,18,883","20,68,928","25,04,777","21,38,188","19,90,230","24,31,687","24,72,650","22,23,181","23,08,398","21,97,903","21,88,121","23,45,401","32,96,242","33,03,324","31,45,039","32,18,180","31,22,557","31,36,262","31,15,654","41,74,048","32,02,378","28,01,592","29,18,399","30,00,005","30,39,178","28,09,968","31,11,468","37,51,681","41,11,238","39,37,504","47,12,377","49,41,367","50,66,219","47,98,312","48,13,078","48,59,573","44,38,818","51,16,787","14,68,58,462",3581913.707
Delaware Water Gap NRA,"20,02,543","2,75,229","3,25,210","3,19,662","2,79,492","2,89,556","3,19,248","3,61,576","3,68,250","3,74,735","3,88,588","3,69,164","3,73,013","3,92,761","4,50,677","2,73,508","2,49,029","3,18,717","3,07,088","2,91,690","2,97,113","8,38,350","7,49,913","9,16,738","8,87,548","9,14,836","9,01,384","9,19,892","9,91,645","9,93,535","9,92,448","9,91,901","10,36,699","10,32,844","9,05,984","9,96,694","10,02,373","10,27,738","9,94,537","9,45,962","9,77,158","2,76,45,028",674268.9756
Denali National Park & PRES,"2,51,105",0,0,0,0,0,"12,332","16,508","20,312","26,257","25,445","23,223","30,975","40,018","54,669","67,756","67,949","62,614","70,716","93,725","82,223","13,89,537","16,08,792","15,10,019","13,91,334","12,75,733","12,95,212","13,43,793","13,68,806","12,30,609","12,38,484","12,53,637","12,12,139","14,87,039","10,99,669","11,52,083","12,54,105","16,76,421","15,33,684","14,77,906","14,22,612","2,81,67,441",687010.7561
Devils Postpile NM,"81,323","42,648","46,681","43,330","33,539","39,319","44,026","53,832","55,793","69,730","56,734","56,993","61,893","69,179","78,931","86,667","92,100","93,656","87,788","90,565","87,183","85,562","75,824","67,040","44,976","37,586","60,224","61,579","58,434","56,557","60,851","55,436","37,037","41,159","40,646","45,125","56,960","51,277","63,132","60,577","60,655","24,92,547",60793.82927
Devils Tower NM,"2,26,091","85,766","64,614","52,502","57,842","65,511","79,732","94,513","90,786","93,604","95,020","1,24,858","1,47,555","1,79,361","1,59,553","1,67,831","1,58,175","1,89,434","1,88,369","1,80,727","1,86,373","98,947","1,12,915","1,10,209","1,07,907","1,09,034","1,06,015","1,00,868","1,01,522","1,05,136","1,14,743","1,17,214","1,19,335","1,26,962","1,18,638","1,09,159","1,16,817","1,15,446","96,779","1,07,494","1,03,594","48,86,951",119193.9268
Dinosaur NM,"2,95,837","4,55,143","5,03,404","4,35,589","3,79,008","4,19,829","3,90,604","4,02,789","4,60,550","4,43,430","4,30,734","3,84,941","4,56,931","4,61,668","3,81,747","4,54,215","4,96,041","4,76,957","4,51,548","4,71,865","4,17,992","66,252","68,165","78,334","79,879","76,586","67,235","77,131","79,533","85,893","96,649","92,484","95,764","98,996","94,906","94,825","1,05,289","1,07,865","1,30,276","1,42,250","99,311","1,09,08,445",266059.6341
Dry Tortugas National Park,"9,076","1,62,454","2,36,525","2,94,387","2,73,693","2,20,801","1,72,503","1,78,332","2,02,800","2,17,022","1,89,317","2,07,766","2,17,879","2,44,806","2,38,508","2,27,918","2,36,008","2,17,586","2,18,036","1,93,304","2,15,567","13,759","17,382","17,778","15,001","13,513","12,529","12,495","10,106","9,007","10,986","23,741","15,620","25,347","22,737","20,028","2,823",0,0,425,"4,100","46,21,665",112723.5366
Effigy Mounds NM,"59,064","4,85,666","4,25,046","6,32,023","7,18,375","7,19,816","7,29,685","7,88,593","7,76,593","7,60,840","8,87,570","8,97,802","9,51,728","9,62,396","9,75,997","9,54,010","10,20,369","10,51,683","13,72,951","13,17,835","14,34,425","31,53,600","32,82,461","33,24,188","33,29,139","33,27,573","33,38,695","33,44,018","33,43,910","33,32,039","33,24,751","34,59,965","34,14,577","32,74,187","31,68,731","33,35,060","33,43,909","33,52,656","33,33,448","32,94,224","33,27,268","8,43,26,866",2056752.829
El Morro NM,"29,635","34,682","37,530","38,450","32,832","32,372","30,077","28,165","27,879","30,066","35,149","36,414","36,452","39,737","38,166","40,743","40,022","43,182","49,864","45,351","44,127","2,69,301","2,37,604","2,94,033","3,36,642","3,52,579","3,47,136","3,32,654","3,95,260","3,90,972","4,00,266","4,33,561","4,35,460","4,54,510","4,09,351","4,16,862","5,88,006","3,91,075","3,75,035","3,75,467","3,97,032","84,03,701",204968.3171
Everglades National Park,"7,18,102","8,91,490","9,88,951","9,94,265","10,50,217","9,94,143","10,71,782","11,14,756","10,96,823","10,76,510","11,25,447","11,02,283","10,90,929","10,98,183","10,89,098","10,64,538","9,93,072","10,17,256","9,66,680","9,73,652","10,44,523","95,619","1,19,738","1,01,620","1,07,114","1,26,247","84,301","1,34,045","1,15,524","1,04,913","1,22,970","1,21,208","1,20,166","1,09,685","1,20,340","1,20,122","87,513","1,43,843","1,59,595","1,45,929","1,59,445","2,39,62,637",584454.561
Federal Hall NMEM,"83,680","5,63,300","5,96,300","7,17,815","9,39,562","10,18,828","10,04,858","10,42,148","11,13,405","12,29,717","11,59,648","12,00,622","13,58,984","14,30,382","22,66,139","32,66,401","31,95,207","34,55,878","35,27,837","34,67,107","33,24,284","84,898","89,107","87,311","89,309","89,591","86,618","71,111","71,702","91,028","1,06,409","1,36,284","1,53,042","97,579","92,936","1,18,838","1,32,584","1,36,075","1,31,614","1,03,218","1,30,328","3,80,61,684",928333.7561
Fire Island NS,"4,65,268",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39,262","34,706","38,308","32,882","2,12,876","2,18,361","2,14,257","2,28,162","2,08,565","2,08,936","1,43,664","1,97,255","2,35,176","2,24,394","2,26,868","2,23,923","2,31,973","2,16,239","2,00,836","2,06,740","2,13,299","2,12,692","1,89,410","2,23,413","48,47,465",118230.8537
Florissant Fossil Beds NM,"46,919","1,72,932","1,65,366","1,97,272","2,20,721","2,21,504","2,01,869","2,09,398","2,09,774","1,52,281","1,16,714","1,47,675","1,80,974","2,05,387","2,15,493","2,50,385","2,11,549","2,06,131","2,21,633","2,42,226","2,75,505","4,26,883","4,57,373","4,56,620","4,79,183","4,17,066","4,47,240","3,88,972","4,68,958","4,15,686","4,46,516","4,48,319","4,23,551","4,47,251","5,23,027","5,35,508","6,14,712","7,56,344","7,11,749","7,20,659","7,04,512","1,43,61,837",350288.7073
Ford's Theatre NHS,"5,18,345","6,18,140","6,30,402","6,79,992","6,35,582","6,21,197","5,76,679","5,86,668","6,65,345","6,92,267","6,64,449","6,90,965","7,43,608","8,69,183","9,98,474","9,71,487","11,09,421","11,89,215","11,88,212","11,77,746","12,27,583","2,11,642","1,85,799","1,83,573","1,78,824","1,83,111","2,03,332","1,76,998","2,21,672","2,27,179","1,94,046","2,15,698","1,98,545","1,97,529","2,00,525","2,14,993","2,46,826","2,55,436","2,85,227","2,63,506","2,72,224","2,13,71,645",521259.6341
Fort Bowie NHS,"5,827","24,70,965","23,96,100","21,35,790","22,93,666","21,36,212","21,86,179","22,47,087","25,46,884","25,27,862","24,34,195","23,30,419","42,75,847","40,37,407","41,67,638","47,73,659","47,26,251","46,57,735","47,52,100","50,19,175","49,53,427","15,20,386","8,87,488","9,15,347","9,87,782","9,29,583","10,06,447","9,36,929","9,94,985","8,43,893","8,83,663","9,18,746","8,28,947","8,53,998","7,68,363","8,79,934","8,40,601","8,20,387","7,37,547","6,84,191","7,04,598","8,50,18,240",2073615.61
Fort Caroline NMEM,"1,69,209","2,16,361","2,56,593","3,21,868","3,46,082","3,95,099","4,36,545","5,29,749","5,75,013","5,92,431","5,43,640","5,46,693","5,58,870","5,03,674","5,05,565","4,90,311","5,43,309","3,41,385","3,54,278","3,72,519","3,86,867","43,782","45,193","41,576","41,727","38,287","40,291","44,025","72,449","82,812","77,588","91,996","74,279","61,493","51,435","61,401","59,859","61,896","51,937","55,650","53,904","1,01,37,641",247259.5366
Fort Davis NHS,"72,465","79,130","86,084","79,999","73,612","97,809","1,08,678","89,518","1,18,913","1,16,819","1,25,623","1,58,662","1,45,439","90,152","1,34,653","1,05,854","1,05,230","1,23,364","1,42,739","1,21,108","1,52,642","10,22,320","8,79,776","7,32,713","10,08,810","10,06,102","8,82,768","9,36,380","9,64,640","10,07,444","9,53,169","9,69,549","9,24,468","8,62,612","8,14,163","9,31,367","9,44,742","9,82,498","10,41,446","9,31,512","8,36,034","2,09,61,006",511244.0488
Fort Donelson NB,"3,17,415","2,13,692","2,85,310","2,64,303","2,67,276","2,19,855","2,16,787","2,90,532","3,28,012","3,43,147","3,49,216","4,28,948","4,56,712","4,57,259","4,26,457","4,54,776","4,20,528","4,36,591","3,89,137","3,99,064","3,95,892","33,24,918","31,23,353","32,17,935","28,79,591","33,06,175","25,33,827","24,68,816","24,86,656","28,28,233","25,89,288","24,92,670","21,61,185","22,99,722","21,03,010","21,89,849","22,84,612","24,23,390","22,26,879","20,96,053","22,37,997","5,86,35,068",1430123.61
Fort Frederica NM,"3,92,405","3,32,781","3,45,784","3,96,938","4,27,375","4,93,140","4,18,187","4,30,891","4,12,089","4,74,452","4,36,303","4,50,368","4,47,781","4,80,412","5,34,274","4,80,576","4,96,509","4,64,133","4,46,624","4,20,295","4,10,742","36,038","48,489","40,246","1,00,616","50,569","49,100","51,771","54,827","53,292","58,301","63,961","68,048","65,999","59,274","57,565","73,588","95,334","99,700","93,541","94,709","1,05,07,027",256268.9512
Fort Laramie NHS,"1,06,583","8,644","10,150","10,700","11,004","11,900","13,213","15,379","16,315","16,937","19,441","19,402","18,231","21,581","24,020","16,736","32,870","35,127","47,224","60,136","74,186","2,53,421","2,21,282","1,94,161","2,71,737","2,36,717","2,40,172","2,45,503","2,60,843","2,65,944","2,46,608","2,65,406","3,55,653","4,32,981","2,79,924","3,42,039","2,93,647","2,32,463","2,33,354","2,10,993","1,87,880","58,60,507",142939.1951
Fort Larned NHS,"22,908","2,549","14,055","12,595","13,858","18,178","15,254","12,365","11,684","14,160","12,239","11,638","13,034","16,058","13,823","14,789","13,443","15,549","17,632","13,965","16,796","11,79,094","10,14,636","8,97,596","8,90,375","7,64,820","8,00,113","7,44,440","7,04,122","8,71,938","8,28,574","9,84,775","9,46,867","9,84,568","9,51,972","11,01,312","11,54,843","12,96,283","12,94,827","16,78,660","17,40,945","2,11,27,332",515300.7805
Fort Matanzas NM,"2,51,507","75,555","79,881","94,305","99,562","92,793","93,074","87,764","87,634","1,01,565","1,09,665","1,08,522","1,25,697","1,28,942","89,434","99,838","75,090","93,894","76,573","70,559","80,414","49,00,745","48,67,273","51,65,415","50,59,410","50,52,264","50,52,264","52,54,216","48,36,229","51,27,074","52,13,030","52,85,761","49,86,700","49,70,802","48,43,350","40,41,672","37,35,134","36,77,744","34,00,944","32,61,921","33,74,865","9,42,29,081",2298270.268
Fort McHenry NM & HS,"5,43,543","1,64,443","1,82,387","1,48,800","1,45,351","1,38,095","1,36,935","1,31,634","1,18,346","1,18,231","1,13,847","1,16,936","1,09,262","1,08,113","96,039","1,12,829","96,481","84,465","74,395","76,825","73,347","3,63,983","3,60,191","3,11,335","3,60,189","4,04,236","4,03,520","4,15,935","4,58,308","4,32,309","3,58,041","3,78,855","4,06,582","3,88,433","5,30,922","5,31,315","5,60,757","5,87,412","6,42,809","5,94,660","6,01,152","1,19,81,248",292225.561
Fort Necessity NB,"1,08,058",0,0,0,0,0,0,0,0,"23,546","52,554","78,993","69,119","75,916","90,316","1,01,492","1,00,366","1,01,158","1,05,707","95,001","1,09,008","1,47,983","1,55,478","1,47,362","1,18,550","1,14,788","67,402","1,05,303","1,20,758","1,34,005","1,10,212","80,349","97,207","87,845","91,794","1,14,414","1,40,313","1,35,404","1,09,571","1,39,724","1,47,864","34,77,560",84818.53659
Fort Point NHS,"8,72,177","29,523","27,536","29,933","29,278","33,125","47,299","54,941","56,426","61,178","67,256","69,343","69,439","81,475","80,470","87,548","83,564","82,655","80,146","79,953","80,529","3,83,468","3,75,596","4,04,934","3,96,266","3,86,558","3,69,575","3,35,764","3,22,272","3,36,303","3,91,023","4,36,200","3,95,203","4,16,994","4,17,326","4,40,875","4,78,833","4,96,210","4,99,031","4,68,216","4,50,785","1,03,05,226",251346.9756
Fort Pulaski NM,"2,76,608",0,0,0,0,0,"30,712","30,313","28,814","29,158","36,466","42,833","77,632","89,363","90,136","82,999","84,879","93,998","85,226","85,347","65,703","3,97,069","3,26,373","2,99,142","2,89,849","3,25,279","3,60,584","2,78,473","2,30,914","2,01,724","2,03,862","1,97,812","2,13,559","3,02,858","2,74,361","2,50,625","2,91,799","3,04,312","3,15,859","3,04,468","2,98,965","68,98,074",168245.7073
Fort Raleigh NHS,"3,05,153",0,0,0,0,0,"2,814","2,639","3,529","4,218","3,129","3,654","3,282","3,692","3,007","3,031","3,112","3,440","3,497","3,616","3,400","83,704","79,186","79,582","74,741","67,917","61,765","64,122","60,895","63,947","52,011","53,890","75,171","60,550","58,401","64,865","70,862","73,661","54,281","56,810","79,200","16,90,774",41238.39024
Fort Scott NHS,"12,008","7,44,244","5,64,721","5,50,168","5,77,439","6,28,658","6,97,646","7,39,072","7,87,493","10,26,188","9,13,372","9,57,925","12,92,014","10,25,686","9,73,706","8,86,455","8,20,466","8,90,167","9,89,532","11,18,215","10,73,982",630,"12,552","12,314","10,830","11,005","11,879","12,409","14,258","12,961","17,463","16,584","14,711","19,104","5,884","13,701","13,862","14,827","14,878","16,314","15,527","1,75,30,850",427581.7073
Fort Smith NHS,"90,584","95,343","1,03,331","1,12,387","1,15,358","1,57,217","2,45,148","4,66,394","3,44,852","3,33,673","2,73,784","2,89,382","1,79,180","1,31,350","1,27,700","1,69,420","1,98,913","2,59,932","2,05,487","2,51,975","2,11,482","77,563","79,846","75,061","79,658","93,575","88,546","90,199","88,268","68,696","78,177","79,783","82,581","78,540","71,074","77,812","81,901","77,195","67,006","55,576","65,581","59,19,530",144378.7805
Fort Stanwix NM,"68,288","6,04,401","5,13,421","5,39,150","5,31,183","5,24,757","5,52,542","5,22,672","5,70,507","5,37,282","5,89,474","6,83,962","7,63,181","6,57,996","6,39,741","6,88,974","3,48,788","3,85,706","5,34,888","5,58,479","5,59,764","76,921","74,826","76,518","69,017","72,272","67,669","70,243","69,747","70,757","64,212","61,210","58,022","53,286","59,179","58,240","54,377","55,550","50,597","42,036","47,277","1,26,27,112",307978.3415
Fort Sumter and Fort Moultrie NHP,"1,85,582","66,652","50,747","49,577","51,309","54,845","93,990","1,27,430","1,43,597","1,55,012","1,61,740","94,844","73,075","87,969","81,508","1,00,333","91,434","91,278","86,488","79,779","81,510","76,557","1,18,374","1,15,893","1,51,127","1,37,170","1,16,194","1,07,792","1,10,639","1,15,066","1,23,290","1,34,662","1,05,356","1,14,678","1,37,904","1,64,063","1,74,433","1,57,440","1,61,526","1,54,368","1,58,924","46,44,155",113272.0732
Fort Union NM,"10,435","6,47,622","6,50,903","6,19,669","7,04,440","7,65,739","7,69,780","7,86,153","8,27,775","8,83,448","7,81,697","9,40,372","8,53,469","8,54,789","9,42,106","9,96,379","10,25,989","9,95,416","10,54,482","12,20,391","11,59,435","67,707","68,886","60,143","57,889","65,877","51,825","52,297","51,492","45,178","48,245","52,566","48,332","44,808","40,051","46,256","49,390","59,422","59,013","65,453","68,867","1,85,94,186",453516.7317
Fort Union Trading Post NHS,"6,368","5,103","5,153","5,055","4,912","5,044","5,635","7,364","6,772","7,209","7,564","7,592","8,159","9,237","9,192","11,022","10,574","10,666","9,623","9,168","9,390","76,958","86,012","71,189","58,843","53,765","52,690","14,493","59,846","53,632","54,393","53,067","50,074","55,049","43,686","60,456","64,791","63,480","67,621","54,649","47,630","13,03,126",31783.56098
Fort Vancouver NHS,"1,56,749","1,28,619","1,10,844","1,51,607","1,40,461","1,45,137","1,64,145","1,35,883","84,457","82,960","91,675","1,00,897","1,32,438","1,30,028","1,29,646","1,61,991","1,24,405","1,22,565","1,30,386","1,29,301","1,76,230","3,579","3,510","3,496","2,672","2,684","3,652","3,372","2,339","2,544","3,783","2,445","2,593","2,789","2,929","3,202","3,942","4,287","3,931","3,432","2,944","27,94,549",68159.73171
Fort Washington Park,"4,96,921","63,465","71,179","74,988","71,334","69,004","68,410","63,918","52,237","54,703","55,026","56,547","66,711","73,037","71,249","69,129","61,032","64,560","62,191","64,846","60,419","9,95,390","10,49,851","9,68,909","10,40,648","11,81,355","12,33,837","9,54,022","10,74,764","8,22,118","9,00,882","9,15,538","9,34,351","11,41,906","10,47,116","11,10,901","10,77,427","9,30,907","10,18,557","5,97,124","11,18,300","2,19,04,809",534263.6341
Fossil Butte NM,"13,669","3,43,964","3,36,538","2,33,631","2,80,644","2,61,960","3,00,404","3,27,942","2,92,132","2,85,145","2,77,675","2,85,714","2,06,528","2,18,896","2,07,503","2,07,332","2,16,433","2,17,178","2,21,923","2,25,854","2,25,604","2,41,897","2,03,816","1,77,146","1,20,152","1,56,707",0,"12,800","1,27,432","2,12,564","2,04,880","1,78,749","1,87,109","1,67,146","1,48,647","1,37,538","1,72,038","3,14,531","3,25,497","2,30,634","2,64,849","87,70,801",213921.9756
Frederick Douglass NHS,"34,137","2,98,718","2,47,469","2,33,710","2,54,739","2,52,159","2,31,010","2,62,653","2,76,136","2,57,109","2,97,065","3,04,189","3,22,439","3,22,688","3,34,267","3,26,018","2,99,986","3,08,819","3,35,009","2,79,251","2,81,437","6,00,333","6,61,692","7,63,992","6,29,858","8,19,161","6,70,456","6,36,030","6,16,233","6,04,577","5,69,667","6,13,057","5,19,173","4,83,334","2,94,219","3,84,343","4,41,899","4,31,303","4,56,392","3,05,710","3,91,311","1,66,51,748",406140.1951
Fredericksburg & Spotsylvania NMP,"10,10,717","89,861","1,21,212","94,936","97,090","89,745","81,531","86,110","85,236","78,965","65,302","66,892","66,135","74,329","93,954","79,746","59,281","54,402","67,493","53,159","56,065",0,0,0,0,0,0,"11,219","10,881","9,770","10,466","8,766","8,254","9,903","10,068","15,326","12,897","13,378","13,085","11,447","10,913","27,28,534",66549.60976
Gateway Arch National Park,"18,59,431","24,036","22,616","24,419","60,788","67,292","58,625","55,138","43,565","48,012","42,735","38,399","46,816","52,958","47,413","46,125","48,310","45,985","43,563","43,530","42,572",0,0,0,0,0,0,0,"1,43,725","1,36,091","1,49,668","1,37,837","2,65,246","3,17,926","2,65,924","2,84,226","3,37,217","3,85,123","3,64,082","3,81,448","4,11,226","63,42,067",154684.561
Gateway NRA,"87,73,128","2,54,243","2,70,207","2,47,694","2,50,790","3,01,115","3,33,170","3,68,794","3,60,278","3,30,628","3,83,003","3,72,079","3,43,864","3,46,779","3,87,876","4,87,195","4,51,490","4,55,402","5,37,642","5,06,212","5,79,385","82,094","79,669","62,509","67,537","61,258","59,508","56,094","55,992","56,988","64,251","65,422","61,289","62,637","58,032","63,297","69,130","73,564","71,763","79,568","77,340","1,76,68,916",430949.1707
General Grant NMEM,"35,117","6,14,665","6,72,541","6,85,443","7,23,297","7,72,531","7,95,752","8,10,114","5,46,360","5,75,992","5,91,376","5,61,800","5,63,042","5,87,841","5,18,439","5,75,747","6,03,976","6,10,932","6,61,141","6,84,724","6,82,012","11,64,176","12,24,540","5,45,336","4,29,763","8,26,008","8,56,079","8,57,600","7,32,521","3,35,865","6,58,271","6,62,298","6,42,786","7,01,542","6,65,876","6,55,441","6,81,537","6,50,779","7,44,266","5,33,410","5,72,373","2,70,13,309",658861.1951
George Rogers Clark NHP,"78,748","1,32,487","1,53,898","1,39,511","1,34,187","1,66,539","1,40,199","1,55,233","1,42,498","1,35,497","1,67,945","1,82,104","2,09,360","1,73,969","1,45,301","1,02,050","1,07,903","96,103","88,307","97,797","85,438","8,898","8,858","8,290","8,445","9,483","9,656","10,679","10,027","10,095","9,641","9,491","8,429","7,966","8,082","6,964","7,760","8,013","8,491","8,401","7,577","30,10,320",73422.43902
George Washington Birthplace NM,"1,22,579","7,92,694","10,73,265","12,22,873","9,61,394","11,76,135","10,75,004","12,74,667","17,96,755","14,27,958","12,92,627","13,35,888","13,51,535","13,66,393","14,79,512","15,06,306","14,03,993","14,83,089","16,48,450","16,69,608","16,82,903","1,89,948","1,95,303","1,84,575","1,80,656","1,71,505","1,45,736","2,24,114","2,50,616","2,79,984","2,88,606","2,99,906","3,26,149","3,27,339","3,07,086","1,87,843","2,24,418","2,32,082","2,43,960","2,03,276","1,87,658","3,17,94,388",775472.878
George Washington Carver NM,"49,112","2,83,483","2,39,572","2,78,463","2,91,318","3,65,084","3,81,616","4,80,859","3,81,468","2,84,228","4,61,730","3,42,107","3,73,787","3,63,979","3,44,963","3,38,461","3,13,879","3,43,706","3,55,040","3,61,104","3,58,710","54,988","56,946","56,454","54,204","54,007","51,858","49,091","51,435","49,290","50,968","43,280","35,130","38,136","43,277","49,842","55,955","61,823","60,910","49,532","51,995","80,11,790",195409.5122
